,0,1,2,3,4,5,6,7,8,9,10,11,12,13
39,NR4A1,SERPINB1,TMEM243,RPSA,APOBEC3G,PLAC9,KLRB1,PLD3,ATP6V0C,ISLR,GPX4,CALCRL,BLK,PDZK1IP1
40,HLA-DMB,CFP,SOD1,TRBC2,TRBC2,TFPI,SEPT9,ARL4C,CD55,RARRES2,GNG5,LIFR,CD72,SBSN
41,S100A10,PLAC8,MFSD10,PI16,BIN2,MT-ATP8,TMSB4X,CTSL,SLC11A1,AEBP1,CD74,EFNA1,HLA-DQA1,CCL27
42,C15orf48,PYCARD,LMNA,ARHGAP15,STK17A,MEF2C,ANXA6,GNAS,HMOX1,SRPX,CD40,EPAS1,RPS27,SDC1
43,RNASE1,PRELID1,GZMM,PRDX2,SAMD3,PRRX1,MT-CO2,CD74,TMEM176B,TIMP3,HSPA1B,TXNIP,IGKC,CXADR
44,DUSP2,CYBA,CD52,GYPC,ISG20,IGFBP5,FLT3LG,CST3,IFITM2,SELENOP,TNFAIP2,MT-ATP8,TPD52,S100A9
45,CLEC4A,AP1S2,IL2RG,CD6,CLIC3,STEAP4,RPL14,MS4A7,CARD16,CYBRD1,EEF1A1,CLU,POU2F2,TXN
46,CDKN1A,TYMP,KRT7,GZMA,CD3G,COL6A2,IL7R,CSF1R,WSB1,FBLN5,RPS28,NUPR1,CYB561A3,DSC2
47,MS4A6A,LILRA5,TNFSF14,LIME1,FGFBP2,CD59,CD82,HLA-DQB1,CYBB,IFITM3,EPSTI1,IL33,HLA-DPB1,CRABP2
48,FCER1G,CD36,RAC2,ADD3,LBH,LAPTM4A,MCUB,AIF1,TKT,CALD1,ATP5F1E,HLA-E,LAPTM5,JUP
49,CTSB,IGSF6,RPL35A,PLSCR3,TC2N,EPAS1,GZMM,MMP19,FGL2,NUPR1,GSTP1,BCAM,PKIG,CD9
50,ICAM1,TNFSF13B,PTGER4,SELPLG,RAC2,TNS1,SH3KBP1,LILRB5,TNFRSF1B,CCDC80,EIF1,SERPING1,RHOH,KRT1
51,IER5,OAZ1,HSPA8,SIT1,MATK,PTK2,TSPAN13,HSPB1,PECAM1,DPT,HINT1,RAMP3,RPS29,CDH3
52,CD68,FCGR1A,SKAP1,TNFRSF4,IL2RB,RARRES2,POLR3GL,MT-ND4,MTSS1,FHL1,KIF2A,NRN1,LINC00926,TMEM45A
53,TXN,PSAP,SH2D1A,SLFN5,IKZF3,SEPT4,RARRES3,FCGRT,PYCARD,MGST1,BASP1,SELENOP,LINC01857,KLF5
54,NAMPT,SAMHD1,SEPT1,CAMK4,CMC1,CNN3,TNFRSF25,GSN,LILRA1,MYL9,RPS27,TNFSF10,HLA-DMA,PHLDA2
55,CTSZ,TMEM176B,BIRC3,ITM2A,PYHIN1,COX4I2,TRAV8-2,HLA-DMA,RHOC,PLPP3,CIRBP,TSPAN4,SMIM14,EPHA2
56,AIF1,LGALS2,GNG2,IFITM1,IFITM1,EDNRA,CCND3,RGL1,CSF1R,LRP1,LITAF,PLVAP,IGHD,SPINT2
57,TNFAIP3,FOS,MIF,CORO1A,SYTL3,EFHD1,ARHGAP15,IER3,ITM2B,GPC3,RPS25,ICAM2,TLR10,GSTP1
58,ZNF331,CD302,TSTD1,TUBA4A,ZFP36L2,PDLIM1,SELL,FCGR2A,CFP,PODN,CCL22,LEPROT,MT-ND3,SERPINB13
59,C5AR1,HCK,UBB,SLC9A3R1,LINC02446,EHD2,TSC22D3,CD209,C19orf38,CYB5A,SRGN,CD151,SYPL1,TACSTD2
60,NPC2,MS4A6A,HLA-A,ACAP1,PIK3R1,TGFB1I1,GTF3A,HMOX1,PTPN6,C12orf57,GADD45B,PRCP,SNX2,PHGDH
61,GSTP1,ASGR1,EMP3,PBXIP1,CBLB,MAP1B,IL2RG,DAB2,VASP,TIMP2,JUN,ADIRF,PTPRCAP,FSCN1
62,FPR3,FYB1,DDIT4,CCND3,FCMR,SYNPO2,MFSD10,SPRED1,LTA4H,PTGES,EBI3,IL6ST,FGD2,KRT10
63,GPX4,SLC7A7,IL13,S1PR1,CD6,PCOLCE,SKAP1,TMEM176B,C1orf162,PRELP,RPS27A,SNCG,BCL11A,ID1
64,DUSP1,FGL2,ARL6IP5,TNFSF10,GNLY,BCAM,RAC2,CLEC10A,POU2F2,RNASE4,MIR155HG,ZBTB20,GAPT,S100A11
65,IL1B,EGR1,ITK,CYTOR,AC116366.3,DSTN,ALOX5AP,TSPAN4,MS4A4A,LAMC1,RPL9,MATN2,ARHGAP24,FABP5
66,SPI1,RNF130,GATA3,DSTN,GYPC,GUCY1B1,BTN3A2,TMEM176A,ADGRE2,CD34,TMSB4X,STOM,HERPUD1,ARL4D
67,HSPA1B,NUP214,CXCR3,PIM2,CD96,MCAM,CCR10,PSAP,LYST,CD63,RPS29,COX7A1,QRSL1,SOX15
68,CLEC7A,RAB5IF,ZFP36L1,SSR2,ADGRG1,PPP1R14A,SIGIRR,CXCL2,CUX1,FBLN1,UBB,SLC9A3R2,BTK,HSPB1
69,REL,C19orf38,TRAV8-2,LAPTM5,HCST,COL6A1,RPS25,CTSH,LAPTM5,TSPAN4,SUB1,TM4SF18,PARP15,DSTN
70,CD63,UBE2D1,TNFRSF25,HSPA8,THEMIS,SELENBP1,CD3G,SEMA4A,CALHM6,GPX4,PTMA,ERG,IGLC2,TUBA1C
71,SNX8,USP15,TRAV8-3,S1PR4,TPST2,CRIP2,TAP1,IER5,S100A11,CXCL14,RAB8B,CAV2,LY86,MPZL2
72,CXCL3,EVI2B,PTPRN2,ANXA6,TRBC1,LGI4,TSTD1,EFHD2,CYBA,FGF7,PFN1,UBD,CXCR5,LTB4R2
73,HSPA1A,MPEG1,HPGDS,LEPROTL1,PTPN4,COL1A2,PARP1,TTYH3,CX3CR1,DSTN,HLA-DPA1,RHOB,FCRL1,PYGL
74,GNA15,NFE2,B2M,MAL,LINC01871,TSC22D1,SFXN1,ATOX1,SOD2,IGFBP4,CLIC2,CLEC14A,KMO,ANXA8L1
75,SLC2A3,BLVRB,TOX,ETS1,STOM,PLPP3,TRAT1,GPNMB,SCIMP,EPHX1,PSME2,PROX1,SNX29,GJB3
76,FOSL2,CNPY3,UBC,PDCD1,LAT,JAG1,PPP1CA,BLVRB,HK3,ADIRF,TUBA1C,LDB2,CD40,RAB25
77,GADD45B,LILRB2,HSP90AA1,ICAM3,CCL4L2,C1S,RPS15,MT-ND1,CD48,PDGFRL,CTSH,PODXL,PAX5,EMP1
78,PEA15,H3F3A,ISG15,ARHGDIB,ZAP70,EBF1,SEPT1,FCGR2B,NAAA,SPARC,RPL36,EPHX1,RUBCNL,NSG1
79,IL1R2,CARD16,RPS29,C12orf75,APMAP,LBH,RPL36,APOC1,BID,VAT1,RPL38,SPARC,PPM1K,EIF6
80,HSPB1,FCGRT,TRBC1,EEF2,DUSP2,KCNJ8,MT-CYB,HSPA1B,CD300A,CAV1,GRSF1,F8,IGLC3,SLC38A2
81,LITAF,FBXL5,SH2D2A,SYNE2,ITM2A,PKIG,C9orf78,FTH1,PAG1,LAMA2,RPL10,COL4A2,LBH,SLC2A1
82,PHLDA2,VAMP5,LTB,LIMD2,TENT5C,FAM162B,ARPC1B,HSPA1A,S100A9,PLTP,MT-ND2,GPRC5B,TSC22D3,SLIRP
83,PSAP,SERP1,H3F3B,HINT1,XCL2,ARHGAP29,NCL,CD4,SIGLEC10,CD248,TAGLN2,RARRES2,HLA-DMB,TUBB4B
84,LGALS2,NEAT1,RPL22L1,TBC1D10C,CYTIP,RERG,EMP3,CD59,PRAM1,AC245595.1,DBI,VAMP5,PHACTR1,SPINK5
85,GRN,METTL9,IL26,CLEC2D,SEPT1,FXYD1,TCF4,FPR3,OAS1,RPLP0,ACTB,DEPP1,UVRAG,EHF
86,PNRC1,LRRK2,CORO1A,SYTL1,SKAP1,NUPR1,RPL29,AP1B1,LY6E,CYB5R3,HLA-DQA1,RAI14,CD180,KTN1
87,TYMP,IRAK3,TNFRSF4,STK4,C12orf75,COX7A1,TC2N,CTSS,MYD88,MT-ND3,H2AFZ,NTS,TMEM156,HBEGF
88,RAB31,CLEC4E,LAT,LTB,GRAP2,COL18A1,SLFN5,CXCL3,NPC2,TFPI,CMTM6,MYCT1,HLA-DOA,PRDX2
89,ATP5F1E,GSTP1,SH3KBP1,IL2RG,ARPC5L,GUCY1A1,TMBIM1,BMP2K,CTSL,APOE,FAU,CDH5,GNG7,NECTIN1
90,CXCL16,CASP1,KRTCAP2,FLI1,EOMES,SEPT7,PGM2L1,CREG1,GABARAP,MEDAG,ACTG1,CCL14,RPL21,DYNLL1
91,NECTIN2,RIPOR2,PLP2,SAMD3,CXCR6,DLC1,ITGB7,GRN,RNF149,CD59,RPL36AL,IGFBP4,AFF3,PLK2
92,CPVL,C1orf162,PPIA,RHOF,PARP8,FABP4,UBXN11,HNMT,SLC31A2,ANGPTL2,MT-CO2,EDNRB,SEL1L3,P4HB
93,S100A6,LILRB3,RPS25,RPS4X,GIMAP7,CSRP2,PPDPF,TYROBP,RGS19,NFIA,MYL6,RHOC,ST6GAL1,TECR
94,PPP1R15A,MYO1F,C9orf16,ITGB7,SH2D1A,PLS3,PAK2,NFKBIA,DUSP6,THBS2,IER3,SHC1,TSPAN3,EIF5A
95,NEAT1,CDA,S100A4,LMO4,TXNIP,CAVIN3,STAT1,CD81,RHOB,CLU,MT-CYB,EMP2,HLA-DRB1,ANXA2
96,VEGFA,PILRA,RNF19A,OCIAD2,PPP2R2B,ESAM,CAMK4,PLAU,TCIRG1,ECM1,KDM2B,TSC22D1,IL4R,CSNK1A1
97,SOCS3,CLEC12A,DUSP4,IL10RA,FCRL6,CPE,SEPT7,LY96,ZFAND5,COL12A1,HSP90AA1,TCF4,MALAT1,DBI
98,TUBA1B,COTL1,JPT1,RIPOR2,SLC9A3R1,RASL11A,RPL10,NRP2,MAPKAPK3,PLA2G2A,FNBP1,IFI27,PDLIM1,DUSP7
99,F13A1,IL17RA,RPS27,TNFRSF18,PTPN22,PTP4A3,RPL19,LYZ,CLEC12A,CAVIN3,PTPN1,MMRN1,SP140,FLNB
100,FCGR2A,TNFSF13,TMA7,PPIB,HSPA8,ABCC9,GATA3,XIST,MAFB,MFAP2,CD86,CALD1,HSP90AB1,DHCR24
101,LIMS1,LILRA2,NDFIP1,TC2N,ITGAL,PMP22,HLA-E,ANPEP,APOBEC3A,MFGE8,STK4,S1PR1,HLA-DRB5,PA2G4
102,CSF2RA,ITGB2,DUSP2,R3HDM4,PDCD4,CHN1,TMEM123,MPEG1,RAB24,SDC2,RPS19,ARL2,PDE4B,TSTA3
103,BHLHE40,PRAM1,ICOS,B2M,STAT4,GSN,TMED9,GFRA2,ITGA4,PCOLCE,HMGN3,SQSTM1,LRMP,PRSS3
104,CSF1R,ZNF106,HSPA1A,SKAP1,SYNE2,ARHGEF17,RPS5,MT-ATP6,NFKBIZ,SPON2,ERICH1,ADCY4,NR4A2,KRT6C
105,ARL4C,MARCH1,RPL37,GIMAP1,SPON2,SERPINF1,SELPLG,RAC1,MALAT1,MMP14,REL,GPR146,MARCH1,TRIP6
106,LGALS1,LAMTOR4,ANXA6,SEPT6,LY6E,LGALS3BP,ETS1,CLEC4G,NCF2,CST3,MT-ND3,PCAT19,TAGAP,CSTB
107,CSRNP1,LY86,OPTN,MZT2A,DNAJB1,CD151,BIN1,CALHM6,DUSP1,LHFPL6,HLA-DRA,TFF3,EBLN3P,RPLP0
108,TIMP1,MCEMP1,SRSF2,RARRES3,PTGDR,CCDC102B,TRBC2,ARHGAP18,UBE2J1,LGALS3BP,SAT1,GALNT18,BCAS4,RPS17
109,FGL2,ASAH1,RHOH,ESYT1,CHST12,DBNDD2,RPSA,DNAJB1,IFI30,TMEM176A,MAP3K13,SPARCL1,ZCCHC7,RPL13A
110,ANXA5,PTAFR,DNAJB1,MYL12A,PCED1B,PALLD,C12orf75,RBPJ,FBP1,CPQ,VOPP1,ADGRL4,MZB1,COMTD1
111,KDM6B,CST3,SLAMF1,HIST1H1D,SH2D2A,MYO1B,ICAM2,SGPL1,SLC2A6,CLEC3B,TRAFD1,SEC62,YPEL5,RPL27A
112,CAPG,CTSD,CD37,XBP1,SYNE1,COL4A2,CD40LG,CD14,MTPN,LGALS3,RFTN1,SYPL1,CD200,ATF4
113,ABL2,LILRB1,PPP1R15A,ARHGEF1,SPOCK2,SPTBN1,KIR3DL2,GADD45B,LYN,GALNT15,OSTF1,A2M,EZR,RAB38
114,RBPJ,NAIP,HINT1,IKZF1,TAGAP,SORBS3,PIM2,LMNA,TBXAS1,CTSL,NDE1,SULF2,RPS21,PPP1R13L
115,CSTB,SYK,LTA,LINC00861,ARHGEF3,CRYAB,EIF2AK1,ICAM1,ALDOA,VIM,GADD45A,KANK3,LAT2,PSMB5
116,PPIF,LYST,HSPA1B,FLT3LG,C12orf57,NFIB,NDUFB9,PTAFR,H3F3A,EMP1,TMEM176A,MGP,PLPP5,NDUFC1
117,S100A11,CPVL,CST7,TESPA1,ITGA4,RBPMS,SEPT6,DNASE1L3,TIMP1,RPL39,ATOX1,DSTN,RAB30,BAIAP2
118,FCGR2B,TRAPPC5,TSC22D3,INPP4B,CNN2,LPP,PI16,SLC40A1,ALOX5,COL3A1,RPS21,PTPRM,PARP1,TNFRSF12A
119,INSIG1,LAMTOR1,OST4,CD69,SLAMF7,COL3A1,CRIP1,ABCA1,RNF144B,ABI3BP,TNFAIP3,PAM,GPR18,SYNCRIP
120,NFE2L2,MGST1,MT2A,RPS3,ACAP1,MRGPRF,CDK2AP2,GLUL,PSMB9,FXYD1,HLA-DQB1,ECE1,WDFY4,FAM162A
121,LAPTM5,CD68,IL21-AS1,ERP29,PTPRC,GPM6B,HMGN1,RAMP1,LILRB3,COL1A1,RPS26,WWTR1,CCR6,TRIM16
122,G0S2,GLRX,TOMM7,SUSD3,TUBA4A,KANK2,TRADD,SIGLEC1,CST3,PDGFRB,MT-ATP8,TINAGL1,NR4A1,RPL35
123,BCL2A1,CDC42EP3,RPS15,CCR10,FASLG,IFI27,CD37,HLA-DMB,IGSF6,PRRX1,VIM,GYPC,RPSA,EIF2S2
124,VIM,THEMIS2,RPL36AL,SLC38A1,ALOX5AP,CCL2,AHNAK,NRP1,ARPC3,GNG11,TBC1D4,LAPTM4A,RSRP1,TXNDC17
125,NR4A3,S100A11,ID2,HNRNPF,SCML4,HIGD1B,FXYD5,MPP1,EVI2B,OLFML3,MGLL,ADM,EAF2,IRF6
126,RGS10,PGLS,RPL14,KIAA1551,CRTAM,ID3,MYO1G,CSTB,DRAP1,SLIT3,RPL37,TJP1,SASH3,THBD
127,NINJ1,MSRB1,PTPN7,TRAC,RBL2,CAV2,EZR,CLIC2,TNFSF10,CRYAB,ZFP36L1,LHFPL6,STK17A,CTSL
128,TUBA1C,RAB31,RGS16,PTPRC,CCL3,NET1,YWHAZ,PLXND1,CD37,F3,HLA-F,CYB5R3,LY9,SULT2B1
129,PLEK,TLN1,H2AFZ,ACTG1,GNG2,HOPX,RPL28,CCL4,ATG3,PEBP1,CD274,ROBO4,IGLL5,TMEM54
130,SRGN,CD55,RPL28,TRADD,DDIT4,ADGRF5,RPS27A,GPX4,GPBAR1,CD81,RPL18,EHD2,NEDD9,ATP1A1
131,ATP1B3,P2RY13,PPP1R2,FKBP11,SLC38A1,IFITM1,SARAF,LAIR1,ITGB2,RPS27L,RAB11A,SERPINH1,RAC2,ARPC5L
132,CIITA,SELL,MTHFD2,RPL10,CLEC2D,SERPINH1,RPL18A,PLA2G7,ADGRE5,CHRDL1,SWAP70,RAB13,TMEM154,CLTB
133,CMTM6,BACH1,FAM129A,GPSM3,PRKACB,RHOB,LIME1,SLC7A8,TYMP,DDAH2,ATF4,C12orf57,AKAP2,CTSC
134,SYNGR2,POU2F2,HLA-C,RASGRP2,CEMIP2,OAZ2,CD53,P2RY14,TCF7L2,COL4A2,VDAC2,EGLN3,PLEKHG1,MIB2
135,CD44,JAML,CALM1,RCSD1,RPS27,ADCY3,GSTK1,METRNL,COTL1,RAMP2,RPLP1,UACA,SERTAD1,RPL7
136,MS4A7,PECAM1,TAGLN2,YWHAQ,MCOLN2,CCL26,RPS7,IL4I1,C3AR1,TMEM59,OST4,MDK,ARHGAP17,STAP2
137,C1QC,PTPRE,NDUFA4,CYTIP,SLA2,PROCR,CAPZB,CYBB,TXNIP,APP,RHOF,RAB11A,IKZF3,YWHAE
138,GLA,GRINA,RPS7,LSP1,LYAR,CYB5R3,CD99,LGALS3,SERP1,CNN3,DUSP1,FN1,IL16,ATP5F1B
139,GLUL,LRP1,ZC3H12A,PPM1G,NUCB2,SLIT3,TMC6,IL3RA,PLEK,MT1M,NET1,HES1,PNOC,CYB5A
140,CTSC,ARPC1B,RPS26,GLG1,KLRC1,COL6A3,SOD1,RAB13,GLUL,PRSS23,RAB13,WSB1,DCK,TPPP3
141,RGS2,DPYD,RPL24,EIF4B,RNF213,STOM,IKZF1,RALGDS,ARRB2,CTHRC1,SLAMF1,LAMA4,TRIM38,EIF1AX
142,DNAJB1,MEGF9,SNRPD2,CLDND1,ABI3,HES1,PLP2,RPL38,LIMD2,HSPB6,PPA1,GIMAP4,TENT5C,CTNND1
143,DSE,ALDOA,LGALS3,NOP53,S1PR5,CSRP1,ARL6IP5,CFD,PRELID1,ABLIM1,FAM49A,FXYD6,STAP1,RPL21
144,JUNB,DMXL2,RPL34,CRBN,CD244,UBA2,ARHGEF1,RNF130,ZEB2,TIMP1,IL4I1,ADGRF5,FAM30A,TIMM13
145,RNASE6,HK3,PTTG1,EEF1A1,BTN3A2,PDE1A,STMN3,ABL2,BIN2,S100A6,RPLP2,EMCN,RPS5,CSTA
146,NFKB1,KCTD12,ICAM3,EIF3F,RUNX3,PARM1,HCST,RENBP,ICAM2,RPL11,RPS24,SLC40A1,STX7,RPL36A
147,QPCT,ZEB2,CIRBP,ZAP70,SYTL2,RBP5,RPL35A,C2,CPPED1,RPL34,NABP1,KDR,CCR7,TFAP2A
148,TUBB,PLXDC2,SEPT9,RPLP0,KLRB1,MOCS1,CORO1B,NPL,HLA-E,PDK4,POGLUT1,FLRT2,CPNE5,PLP2
149,PPT1,GAPDH,SERTAD1,PARP1,ARHGAP9,EGFLAM,OGDH,LAMP1,MPEG1,MFAP5,ANXA6,PTPRK,ITPR1,PPIC
150,CD1C,CLEC7A,KIR3DL2,PIM1,PDCD1,ITGA7,BLVRA,ACE,PTPRC,GYPC,CCNI,EFNB2,MBD4,PLS3
151,METRNL,LRRC25,SEC11C,PRKCH,TRDC,GJA4,RPS15A,CREBL2,ITGAX,RPL13,HLA-DRB1,CTNNA1,MACROD2,MRPL52
152,PIM3,DYNLT1,U2AF1L4,EPB41,MALAT1,C1R,TMSB10,TNFAIP2,GIMAP4,XG,ANKRD10,ID1,FOXP1,GIPC1
153,SLAMF8,GLIPR1,AHI1,MATR3-1,PRKCQ,SELENOP,KRTCAP2,RNASE6,IRAK3,IGFBP7,RNASEK,RAPGEF5,GPR183,RAB10
154,TMSB10,TMEM167A,ACTB,ITK,TRAC,TNS2,ITGB2,VAT1,UNC119,EMP2,HLA-B,RBP1,HSH2D,NME1
155,JUND,TMEM176A,RPS27A,RPS15A,TBC1D10C,ADGRA2,SRI,DMXL2,FPR1,HSPG2,MT-CO1,SOX18,RASGRP3,KLF4
156,CCDC88A,ITM2B,HMOX2,FUT7,SLFN12L,LURAP1L,EMB,HLA-DOA,RAB10,FBN1,CYTH1,EFEMP1,CD55,RPL3
157,ATF3,IFNGR2,CD96,PPP2R5C,ZNF683,FHL2,SRSF5,SUCNR1,ETS2,ADH5,YWHAQ,CLIC2,IGHA1,GSTA4
158,RPS29,CPPED1,LDHA,SMCHD1,SNRPN,ZBTB20,HLA-B,ADA2,ZNF706,SCARA5,NFKB2,FLT4,EIF4A2,SQLE
159,EMP1,RNASET2,SARAF,CD28,IGLV2-14,ARID5B,TAF7,FCER1G,GRB2,LAMB2,PPIA,TGM2,EEF1B2,LTB4R
160,RALA,MAFB,LINC00944,CALM1,ZBTB38,ANGPT2,TOX,IFITM3,RPS19,MGST3,RPL21,JUP,PTPN6,MT-CO3
161,LST1,ITGAM,ICA1,HOPX,CD38,MT1E,RNF214,SNX2,TNFSF13,RPL12,SEC61B,SOX4,BCL7A,SERBP1
162,C1QA,MCL1,SRSF7,MFNG,F2R,MRVI1,ICAM3,ATP5ME,WASF2,TGFBR3,ISCU,BACE2,AGPAT5,RPS18
163,AP2S1,CD93,ROMO1,FCMR,AKNA,GNG11,KIF2A,GPR183,CXCL16,RPS12,RPS23,FAM213A,FCRL3,RAN
164,PLSCR1,GIMAP4,DNAJB6,HMGN1,TRGV9,COL1A1,TRBC1,COLGALT1,CLEC7A,RPL22,ARRB2,MEOX2,CDCA7L,GJB6
165,SELENOK,ACAP2,SUMO2,EEF1G,AOAH,DDR2,UBE2L6,ANXA4,RIPOR2,LEPROT,RPS14,CD34,MX1,KLC3
166,KYNU,SLC31A2,VIM,TRIB2,FCGR3A,EMP2,PTPRN2,TSPAN33,NAP1L1,PDLIM1,MTHFD2,PDE2A,ZDHHC21,KLK8
167,CREM,ZYX,OCIAD2,SPTAN1,TTC38,MYH11,RACK1,MAF,UPP1,NTRK2,NAP1L1,FKBP1A,FCRL2,HAS3
168,PTPRE,GAS7,RPL39,NMRK1,VPS37B,HSPB6,RPL36AL,CCDC88A,RHOG,PRDX6,UBXN1,RCN1,FCGR2B,SPRR1B
