,0,1,2,3,4,5,6,7,8,9,10,11,12,13
10441,IGLV3-31,RAB40A,IL9,AC067969.1,BMP10,LINC01966,AC008569.1,AC011524.1,AC009646.2,AP001007.2,AC008761.2,AC013644.1,AC245100.1,KDM4E
10442,IGLV3-32,FP325318.1,AC145207.4,AP002340.1,LINC01890,LINC01850,LINC01782,AC217774.2,AC113194.1,AP001893.1,AC109471.1,AC012349.1,AL451067.1,AP003066.1
10443,IGLV2-33,IGKV1OR9-2,AC100781.1,AL512329.2,PROKR1,AC062031.1,AC011509.1,LINC00906,AC022034.4,OR8H1,AC010235.1,MOS,AL590385.1,AP001790.1
10444,IGLV2-34,AL353626.1,CA1,AP001107.7,AC020908.1,LINC01911,LINC01847,LINC01532,AC131902.1,OR8K3,LINC02039,CYP7A1,LINC01662,AC107220.1
10445,AC246793.1,AL354718.2,AL591441.1,AP001107.1,AC020908.2,AC062032.1,AC008703.1,AC007786.2,AC012103.1,AP003501.1,AC093535.1,AC027698.1,ZIM3,LINC02276
10446,AC099796.1,AL591926.2,AC008406.1,OVOL1-AS1,NWD1,AC009480.1,AC011518.1,AC007786.3,AC104051.1,OR8K1,TEX43,AC104350.1,USP29,AP003386.1
10447,AL358154.1,H2BFWT,SPATA31A5,PSG9,AC024075.3,AC139530.2,AC092073.1,AC011474.3,AC090796.1,OR4A15,C9orf41-AS1,LINC01602,MIMT1,AP003028.1
10448,PDE6C,H2BFM,AC021504.1,TEX101,AC008764.2,KRTAP10-8,AC011456.1,AC011474.2,AC068075.1,OR5T3,AL354733.1,AC012103.1,AC006115.3,FAT3
10449,KCNE2,ESX1,LINC01843,L34079.2,AC008764.5,FER1L6-AS2,SPINK4,ERVK-28,LINC00588,OR5AR1,GNA14-AS1,AC104051.1,NLRP13,AP000722.1
10450,ASB4,AL353780.1,AC110285.4,HIST1H2AA,AC092431.1,AC090192.2,DNAI1,AC006504.2,AC025674.2,OR9G1,AL512634.1,AC090796.1,NLRP4,AP003718.1
10451,AC243836.1,AL512604.2,AL360013.2,HIST1H2BA,AC008687.2,CCAT2,AC091979.1,AC010511.1,LINC01606,OR9G4,AL358975.1,AC068075.1,RFPL4AL1,AP003171.3
10452,AC069294.1,LINC01627,AL445470.1,SLC17A4,AC008687.8,AP003438.1,AC025437.1,AC091132.2,AC009597.1,AP001803.2,SPATA31D4,AC009597.1,RFPL4A,AP003171.1
10453,CYP3A4,AL513165.2,AC096644.1,SLC17A1,CGB8,AP003355.2,AC025437.2,AC217774.1,RP1,OR5AK2,C9orf135-DT,AP001630.1,AC010525.1,AC092435.2
10454,CYP3A7-CYP3A51P,AL138752.2,AC096644.4,AP000439.2,CGB5,AP003467.1,AL160270.1,AC011524.2,NPBWR1,OR5W2,ADAMTS19-AS1,CHD5,AL663023.1,KDM4F
10455,CYP3A7,SERPINA7,AL512604.2,AC099567.1,ERLNC1,AC107909.2,AL162727.1,AC023855.1,ALKAL1,OR5I1,AL353780.1,Z98259.1,OR10J1,LINC02553
10456,IGLV5-37,RIPPLY1,AL451081.1,COL11A1,AL592146.1,AC018442.2,AC011525.2,LINC02261,AC021915.1,PATE1,IGKV1OR-2,Z98259.2,SNHG28,AP003730.2
10457,AL358613.2,CLDN2,LINC01959,AC095032.2,LINC00303,AP001574.1,OR2K2,AC007106.1,AC021915.2,OR5F1,IGKV1OR9-1,Z98259.3,OR10J3,AP003715.1
10458,AL358613.1,AP000959.1,NEUROG1,AMY2A,OPTC,AP000424.1,CNTFR-AS1,AC109588.1,AC064807.3,OR8D1,AC008591.1,AL139823.1,OR6N2,AP002428.1
10459,IGLV7-46,AP001116.1,LINC01627,AMY1A,AC105940.1,AL590822.1,AL592463.1,AC097480.1,AC064807.2,OR5AS1,KIAA1024L,AL691497.1,OR6K6,CNTN5
10460,AADACL4,AP000459.2,C5orf66-AS2,AMY1B,AC010636.1,LINC01931,TXNDC8,LINC02364,AC068228.1,PATE4,AC008695.1,BX005132.1,OR6K3,AC139720.2
10461,AADACL3,TEX13A,LINC01971,AMY1C,AC010967.2,LINC00964,CYP4F26P,AC068944.1,AP001619.2,OR8I2,AC034228.3,BX005132.2,AC005498.1,AC097658.2
10462,IGLV3-24,AL591543.1,AC023644.1,LINC01676,AC008554.1,AC100858.2,TRBV20OR9-2,AC109349.1,AP001615.1,PATE3,NBPF4,AC110275.1,AC006116.4,FREM3
10463,C1orf158,FAM240B,AL031594.1,LINC01709,AC013480.1,WASHC5-AS1,AL591719.2,LINC02472,LINC00112,AP000781.1,C9orf57,AC012413.1,AC006116.9,GYPB
10464,PRAMEF12,AL845311.1,DNAJB7,L34079.1,C2orf91,AC084083.1,AC011525.1,AC097716.1,AC108136.1,PATE2,AL390038.1,AC009646.2,LINC00895,GYPA
10465,AC244250.1,SPATA31A1,AC008667.1,AC114485.1,LINC01914,AP003465.2,AL135787.1,AC097512.1,AP006748.1,OR10AG1,NBPF6,DKK4,AC000068.3,MTNR1B
10466,IGLVVI-25-1,BX005214.1,AL035658.1,AC243967.2,LINC01913,AP003117.2,SYCP1,AC104071.1,TMPRSS2,TRIM51,LINC01661,AC011008.1,SBK3,AC109811.1
10467,ATP5MF-PTCD1,Z69733.1,AL160270.1,AC243967.3,LINC01794,AP003115.1,TSHB,LINC02501,LINC01672,OR4C3,AC011477.4,PINX1,SBK2,LINC02266
10468,AL365273.2,AP000561.1,SMIM23,LYPD4,LINC01833,AC016074.1,AC027306.1,LINC02506,AL031848.1,OR4C5,AC011477.3,C8orf74,AL513323.1,SMAD1-AS1
10469,AL157834.1,SPATA31A5,MTOR-AS1,DMRTC2,ABCG5,AC024681.2,AC008619.1,LINC02353,AP001628.2,OR4A47,AC034228.1,RP1L1,IGLV3-2,AC109927.2
10470,CYP2C8,SPATA31A7,AC111149.2,AL031775.2,AC011477.3,AC084116.2,AL034346.1,MIR2117HG,LINC01668,TRIM49B,AL353608.2,PRSS55,IGLV3-4,GRIA4
10471,CYP2C9,BX005040.3,EP300-AS1,AL512428.1,AC011477.4,MYADML2,LINC01394,AC068675.1,AP001626.1,TRIM64C,AL391987.3,PRSS51,AC023115.1,AC131182.1
10472,CYP2C19,AL157359.2,FABP9,AL133268.3,LINC02590,AC084116.3,AC027312.1,LINC00276,AC104316.1,AL512380.1,CR769775.2,AC104964.2,LINC01829,MGAT4D
10473,AL583836.1,AL935212.2,DNAI1,GAL3ST3,AC010636.2,AC024382.1,AL033381.1,AC016730.1,AC016405.2,OR4C15,AL590399.3,IGLV8OR8-1,LINC01828,UCP1
10474,PON1,AL935212.1,CLCNKB,AP001107.4,AC123912.2,AP003469.2,AL033381.2,AC011897.1,AC090192.2,AP000842.1,AL359258.1,AC091163.2,AC007403.1,AC022601.1
10475,AC002429.2,NXF2,GOLT1A,AP001107.8,AC010615.4,AC090193.1,AL356130.2,AC008507.2,LINC01151,OR8H3,GDA,AC091163.1,LINC01628,AC068506.1
10476,AC003092.2,AP000477.2,AC060765.1,AL390038.1,LINC01883,ANXA13,AL356130.1,LINC02497,LINC00479,MYBPHL,CELF6,CHRNB3,LINC01799,LINC01095
10477,PLCE1-AS2,AP000477.1,AL450998.3,LINC01677,AC009229.3,FER1L6,AL392183.1,LINC01180,AC016885.2,SPATA42,LINC01856,NPBWR1,LINC01797,AC106871.1
10478,AC002076.1,AP000470.1,TMEM82,AL355306.2,AC009229.2,AC090753.1,AC008514.1,AC005180.2,AC016885.1,OR8J3,AC018865.1,ALKAL1,LINC01798,AKR1C4
10479,GNGT1,LINC01689,AL354989.1,PSG3,AC074135.2,FER1L6-AS1,AL357054.3,FAM187A,LINC00535,OR4C13,AQP8,AC021915.1,PSG2,AL355303.1
10480,ARHGAP19-SLIT1,LINC01692,EFCAB9,PSG8,LINC01858,AC100871.2,AL031770.1,AC114912.1,C8orf87,OR4C12,AC008741.1,AC021915.2,AC008761.1,UCN3
10481,SLIT1-AS1,AP000402.1,C9orf135-DT,PSG8-AS1,LINC01859,LINC01832,CYLC2,AC092440.1,AC117834.1,AC109635.2,AC145285.3,AC064807.3,AC008761.2,TUBAL3
10482,BHLHA15,MIR548XHG,FAM205C,PSG1,AC022145.1,AC145207.4,AL354726.1,AC093607.1,AC104211.3,OR8H2,TEX51,AC064807.2,AC010618.2,AL732437.1
10483,OCM2,AF240627.1,FAM205A,PSG6,ZNF723,AC084116.1,PTCSC2,ERVH-1,CALB1,OR4C16,AC012508.2,AC064807.4,LINC01873,AC106037.2
10484,AL139124.1,BX005040.1,LINC01251,PSG7,AC024563.1,AC064807.4,AC025809.1,AC092834.1,AL133499.1,OR4C11,AC012508.1,AC090200.1,AC092669.1,MIR133A1HG
10485,PLCE1-AS1,PRAC2,AC010608.1,AC004784.1,NTF4,AC064807.2,AC008992.1,LINC02473,LINC01770,OR4P4,AL162412.1,SNTG1,AC118345.1,AC103987.2
10486,AL389885.1,HOXB13,AC111149.1,NBPF4,LINC01233,AC064807.3,OR10H5,LGI2,TMEM88B,OR4S2,AL354794.1,AC023762.1,AC007389.3,LINC01900
10487,AP001208.1,AC091179.1,WSPAR,AL359258.1,AC073539.1,AC021915.2,OR10H3,LINC01976,AC069133.1,OR5M3,AC010424.2,AC113145.1,AC020913.2,AC091043.1
10488,AC006378.1,TTLL6,PMP2,NRSN1,LEMD1-AS1,AC021915.1,OR10H2,SLC4A1,AP001469.1,OR5M8,CTXN3,FRGCA,AC020913.3,AC110603.1
10489,AL391704.2,CCDC148-AS1,SOWAHA,AC093019.2,NUCB1-AS1,AC026904.4,FOXCUT,AC003043.2,AP001468.1,OR5M11,AC022118.1,AC090155.2,AC020908.3,AC091588.3
10490,LINC01375,PKP4-AS1,LINC01944,AC006213.3,FGF21,AC022915.1,AC003956.1,AC003043.1,AC090578.1,OR5D16,AC068658.1,AC022568.1,BMP10,OPRPN
10491,AC004522.2,AC005042.2,AL451042.1,AC067968.2,AC093422.2,AC022915.3,AC008794.2,AC092436.2,AC090568.2,AC010223.1,SLC27A6,AC022915.3,MEIS1-AS3,UGT2B28
10492,OR2AE1,AC092625.1,UTS2R,AC024619.2,CNTN2,C21orf140,VTCN1,AC092436.4,AC037450.1,OR5D13,SPATA42,AC022915.1,AC092155.1,AMTN
10493,CYP3A43,CT83,TEX19,AC007846.1,AL161793.1,AP000322.2,AL157904.1,AC133961.1,DCAF4L2,OR5D14,AC092067.1,AC026904.4,AC093159.1,AMBN
10494,AP000322.2,KAZN-AS1,AL844170.1,AC004771.2,AL606489.1,AC110285.4,MSANTD3-TMEFF1,LINC02357,AC036214.1,OR5L1,GDF1,AC026904.1,AC009970.1,ENAM
10495,ZAN,AP000459.1,AC004039.1,AC012146.3,KCNA7,AC131902.2,AL358937.1,CCKAR,AC138646.1,OR5D18,AC005197.1,AC022915.2,MIR4432HG,GC
10496,AL157400.1,LINC01687,AL355674.1,AC073050.1,AC008687.3,AL031291.1,AL162394.1,AC024132.2,PKIA-AS1,AP001893.3,AL353693.1,AC021242.2,AC007381.1,AL731533.1
10497,AL157400.2,LINC00308,AC034228.2,AC007846.2,LINC01785,LINC01647,NUTM2G,AC024132.1,AC105031.2,AP000821.1,AL353608.1,AC021736.1,AC007179.1,AL451164.2
10498,IGLV3-26,AL450267.1,AL592114.3,AIPL1,AC009971.1,AL031731.1,AC008764.3,AC007993.2,AL391244.2,OR5L2,AC008738.3,AC022784.4,AC007179.2,AL451164.1
10499,IFIT1B,LINC01400,AC022730.4,AP000944.1,AC009975.2,AP000688.3,SPATA31A1,AC104662.1,LINC01111,VSIG2,AC008738.5,AC022784.1,AC007100.1,AC091588.1
10500,AL353681.1,AL034399.2,FOXD4L4,TEKT1,FSHR,AP000688.2,BX005214.1,HOXB-AS4,LINC01109,AL590783.1,AC011525.1,AC090155.1,LINC01793,SMR3B
10501,LINC01755,TEX13B,IGKV1OR-3,AC027763.2,AC009975.1,AP000696.1,AL449403.2,PRAC1,KRTAP10-12,HEPN1,AC011525.2,C8orf34-AS1,AC005387.2,UGT2B11
10502,LINC01753,AL035425.2,AL355526.1,G6PC2,AC073082.1,AP000697.1,AL512604.2,PRAC2,KRTAP12-1,HEPACAM,AL353811.1,AC011853.2,AC005387.1,GNRHR
10503,BSND,IRS4,LINC00210,MIR137HG,GTF2A1L,RIPPLY3,LINC01627,HOXB13,KRTAP12-2,OR10G6,LINC01241,TCF24,IGLJ1,UGT2B4
10504,AL590440.1,AL035425.1,Z82202.1,BX005019.1,AC138655.1,AL953897.1,AL354861.3,AC091179.1,AL590822.1,AL139147.1,AL353753.1,AC022858.1,AC012370.2,UGT2A2
10505,TMEM61,RTL9,LINC01310,LINC01776,AC073283.2,OPRK1,AL513165.2,TTLL6,AL391845.1,INSL5,AL451137.1,AC022730.4,LINC01805,AC108941.2
10506,IGLV3-13,DCX,AC008667.3,PLPPR5,AC093732.1,AC026904.1,AC008894.1,AL590235.2,COL18A1-AS2,OR10S1,AL356133.2,AC022730.3,AC008074.1,SULT1E1
10507,IGLV7-35,AP000472.1,AL513478.2,AL445433.2,AC093732.2,AC016868.1,AL162385.2,AL121796.1,LINC00316,OR5AP2,SPINK4,XKR5,AC114752.1,CSN1S1
10508,IGLV1-36,AP000474.1,SPATA17-AS1,AC245748.1,AC016722.1,NKX6-3,AL162385.1,LINC02171,BX322557.1,OR4D5,AC073534.2,AF287957.1,AC008397.1,CSN2
10509,SLC16A12-AS1,NCBP2L,ESRRG,AC245748.3,LINC01819,AP000322.1,AL138752.2,OTOP1,AC103770.1,OR8D4,LRRC19,AL359881.2,AC008397.2,STATH
10510,IGLV2-28,OR13J1,AC138024.1,SLC13A5,AC008397.2,LINC00160,OR2V2,AC007370.2,CASC9,TMEM225,AC104116.1,AL359881.3,IGLV3-22,AL391427.1
10511,IGLV3-29,OR2S2,AL353770.3,LINC01661,AC012358.1,AF015262.1,AC008443.4,LINC01396,AC022274.1,OR6M1,AL359922.1,AP001625.2,IGLVVI-22-1,HTN1
10512,GGTLC2,AP001439.1,AL353693.1,CEACAM8,AC104781.1,AF015720.1,AL590705.2,AC092442.1,AC084706.1,AL592161.1,CDKN2A-DT,Z97987.1,IGLC4,AL139280.1
10513,PRAMEF1,AP000229.1,TLX3,SLC17A2,AC093110.1,AL109811.4,AL590705.3,AC113615.1,AC062004.1,AC063977.3,LINC01243,AL512330.1,IGLJ4,AL450322.2
10514,IGLVIV-59,PRAMEF33,LINC01712,IRGC,AC092839.2,AL109811.1,SMIM23,AC004477.2,AC023200.1,LINC01872,TAF1L,CAMTA1-DT,IGLC1,AL513303.2
10515,IGLV4-60,PRAMEF15,AC090572.3,AC115522.1,AC092839.1,MTOR-AS1,AL445531.1,AC090627.1,AC091096.1,AC011510.1,AL589642.1,AL591163.1,AC010335.1,AL513303.1
10516,AL136985.1,AC243961.1,AC011410.1,PSG11,C2orf73,LINC01400,LINC01855,AC036222.1,AC022695.3,OR6T1,AL589642.2,AP001628.2,AC012366.1,AC068721.1
10517,AL136985.2,PRAMEF14,AL162412.1,PSG2,TSPYL6,AC022568.1,OR10H4,HOXB1,AC022695.2,AL009031.1,AL365204.2,LINC01668,EMX1,NPFFR2
10518,AL445193.2,PRAC1,RDH10-AS1,AC005392.1,AC005387.2,AC090155.2,CYP4F2,HOXB-AS2,AF181450.1,STMND1,IZUMO3,AP001626.1,AC008764.3,AC095056.1
10519,KPNA7,PRAMEF17,AL157884.2,PSG5,AC005387.1,AC090155.1,UCA1,PSAPL1,AC103409.1,OR8G5,AL356218.1,LINC01671,AC008764.1,AL137186.1
10520,AL391704.1,PRAMEF20,TMEM215,ABCB11,AC010335.1,AC113145.1,LINC01764,AC097381.3,AC087439.1,ZFP91-CNTF,TRBV24OR9-2,AC009435.1,AC007881.2,AC025946.1
10521,AL031291.1,AL354712.1,Z82249.1,LINC01349,AC005197.1,AC023762.1,OR10H1,AC105415.1,AC067773.1,GLYAT,TRBV25OR9-2,LINC00967,AC020908.1,AC022535.1
10522,AC073842.1,AL359771.1,LINC02078,HIST1H4G,AC016735.1,SNTG1,AL512329.2,AC091133.2,FABP12,GLYATL2,TRBV26OR9-2,AC079054.1,AC020908.2,HTN3
10523,LINC01647,GLRA4,IGKV1OR9-1,AP003774.2,KCNG3,AC012413.1,AL845311.1,AC020905.1,AC023644.1,OR8G1,AL139008.2,AL365194.1,NWD1,AC096759.2
10524,AL365434.2,TMEM31,AC016573.1,AP005273.1,AC008739.1,AC113194.1,LINC01187,AC005580.1,FABP9,OR10G7,AL163192.1,AC091047.1,AC024075.3,AC091588.2
10525,AL365434.1,AC091133.3,AL772155.1,SLC22A12,AC008687.1,RP1,FOXI1,AC093074.1,PMP2,AP001652.1,AL360014.1,LINC01603,OR10H1,MUC7
10526,AL031731.1,B4GALNT2,SPATA31A6,OLFM3,CGB3,XKR4,AL591543.1,AC005307.1,AC018616.1,AC011473.2,TRBV29OR9-2,DSCAM-AS1,OR10H5,AL713851.1
10527,ANKRD1,AC091180.5,NKX2-5,HIST1H3D,AL592114.3,AL450267.1,FAM196B,AC005381.1,AC114498.1,OR10D3,AC106791.2,DSCAM,LINC01890,AL669841.1
10528,AL390862.1,AC091180.4,SPATA31A3,AP003068.3,GOLT1A,ANGPTL7,FAM240B,AC005394.1,CA1,KLK12,AC113382.2,PCP4,OR10H2,AL157709.1
10529,AL391704.3,HOXB-AS4,BX664730.1,SPDYC,KISS1,TRBV26OR9-2,AC008680.1,AC005616.1,AL732372.1,AC011473.3,WNT8A,IGSF5,LINC01293,AL359878.2
10530,C21orf140,PRAMEF19,AC127496.6,AC104457.2,REN,AL356489.2,HSD17B3-AS1,AC079466.2,AL627309.4,AC011473.1,AC008738.6,AF064860.2,AC104135.1,LINC00200
10531,TMEM130,LINC01474,AC093581.1,AL589990.1,GDF1,AC013644.1,HSD17B3,AC079466.1,AL627309.3,LINC01707,AC008991.2,B3GALT5-AS1,AC005041.3,AP002856.2
10532,AC004888.1,AL355674.1,AC127496.2,GPR88,AC018682.2,AC009597.1,OR13J1,AL158068.2,AC060765.1,AL512271.1,AC011524.1,B3GALT5,AC073263.1,AP003025.2
10533,AC004946.1,PRKACG,AL358452.1,AC067968.1,AC009234.1,AL354989.1,LINC01525,AC068286.1,FAM138A,GLYATL1,AC011524.2,AP001619.2,C2orf78,ADARB2-AS1
10534,AC004872.1,Z83818.2,AC027018.1,AL157373.1,LINC02583,DNAI1,OR1I1,AC008278.2,AC213203.1,AL031767.1,LINC00906,AP001615.1,NAT8,NTM-AS1
10535,LINC02476,AL121872.1,AC100791.1,LINC02530,LINC01820,AL160270.1,AL138831.2,LINC01804,AC027701.1,OR8J1,AC008474.1,AC083967.1,AC012494.1,AP000844.2
10536,AC003084.1,TGIF2LX,AL356489.1,GFOD1-AS1,AC017006.1,CNTFR-AS1,LINC02521,AC113608.2,AP001469.2,AC005609.4,AC008507.2,LINC00479,LINC01851,AP000844.1
10537,CDH23-AS1,AL121823.1,AC129510.2,AL023583.1,AC017006.2,LINC01606,CCDC105,MYCNUT,BX004987.1,OR8U1,AC005597.1,AP006748.1,AC084149.2,AP001979.2
10538,HNRNPCL4,TENT5D,LINC01978,AL022396.1,U51244.1,AC104350.1,AL133351.2,MYCNOS,AC171558.1,OR5R1,AC011478.1,TMPRSS2,AC084149.1,SPATA19
10539,AC073176.1,AL391294.1,AC129510.1,AL353152.1,AC092067.1,AL928921.1,AC008794.1,IGF2BP1,AC171558.3,AP002512.3,AC067930.3,AC084768.1,OR10H3,AP000911.3
10540,AC073176.2,AP000431.2,AC106791.2,LINC01108,NCAN,TTC3-AS1,LINC01791,AC091133.3,AC136352.2,OR5M9,AC008738.4,AC004944.1,PROKR1,AC112719.2
10541,AP003355.2,IGFBPL1,AC087741.2,AL080313.2,AC093833.1,KCNJ6,AC008991.2,B4GALNT2,AC136352.3,AP001931.1,AC008991.1,AC245187.1,NXNL1,ART3
10542,TBATA,AP000855.1,AC113410.2,AL080313.1,AC093702.1,DSCR4,OR7C2,AC091180.5,AC141272.1,AP000842.3,LINC01837,AC245187.2,AC010319.5,AC025244.1
10543,SLC13A1,LINC01683,AC010307.2,CABP2,AC012354.1,DSCR8,OR7A17,AC091180.4,AC136616.2,OR8B8,AC011456.1,AC245519.2,AC010319.2,ALB
10544,AC073311.1,LINC02573,AC010307.3,CEACAM6,AC007402.1,AL139424.3,OR7A10,AC007795.1,OR4F5,OR8B4,LINC01533,AC245519.1,AC010319.4,AP003025.1
10545,PRAMEF9,LINC00320,AC090572.2,C11orf86,TMEM247,CORT,PLPPR1,RPRML,AC090572.2,OR5M10,LINC01782,AC245164.1,AC010463.2,LINC00700
10546,TAS2R16,AP001136.1,AC010307.4,SYT12,AC067968.2,AL354956.1,AC011524.1,AC002558.2,AC090572.3,OR8B3,AC011518.1,AC019257.2,LINC01812,AL441943.1
10547,RNF148,AP001117.1,SPATA31A7,AL357052.1,AC006213.3,LINC01714,TMEFF1,AC068234.1,SLC7A13,OR8B2,AL445218.1,LINC00112,AC007422.1,AL441943.2
10548,FEZF1-AS1,AF241725.1,AC104116.1,AP002992.1,AL365184.1,AC027698.1,OR13D1,AC068234.2,AC084128.1,OR8D2,LINC01761,AC023866.1,AC008764.2,AL441943.3
10549,PRAMEF13,BX664730.1,LINC00907,AC008537.2,AL365184.2,CYP7A1,AC008991.1,AC040934.1,AC023194.3,OR5M1,AL356479.1,AC023866.2,AC008764.5,LINC00701
10550,FEZF1,NOX1,CNTFR-AS1,CYP2A6,AL358176.1,CYP4F26P,LINC00587,USP17L5,AC093331.2,AC005609.2,AL683887.1,LINC01299,AC007040.2,AC239584.1
10551,AC015983.2,XKRX,LINC01979,CYP2A7,AL590490.1,AL357140.1,NBPF4,USP17L27,AC079209.2,PCDHAC1,AC099566.1,LINC00251,NOTO,AC110760.2
10552,AC073176.3,AP000431.1,AL356489.2,CYP2A13,AL359918.2,AL357874.2,PPP3R2,USP17L28,AC022778.1,BTBD18,LINC01834,AC104232.1,VAX2,AC110760.1
10553,NPPB,FOXB2,TRBV26OR9-2,AL158847.1,FMN2,AC131902.1,AL359258.1,USP17L29,AC034114.2,OR9Q2,DPYD-AS2,AC068389.2,LINC01143,AL590637.1
10554,AL450263.1,LINC01549,TRBV25OR9-2,EPS8L3,AL356361.2,AC022034.4,AL390038.1,USP17L30,AC009686.1,OR1S2,MIR137HG,AC068389.1,AC005234.1,AFP
10555,DMRTB1,AP000432.1,IGKV1OR-2,C11orf72,CHRM3-AS1,AC025674.2,TMEM246-AS1,AC097381.2,SLC10A5,OR1S1,AL161909.2,AC087664.2,AC022201.1,AC096759.1
10556,MIR3150BHG,CHODL-AS1,TRBV24OR9-2,LINC01397,RAD51AP2,LINC00588,ALDOB,DRD5,AC036214.3,OR10Q1,POTEJ,DEFB105A,AC022201.2,LINC02499
10557,IGLC4,AF130417.1,AC018616.1,AL355990.1,AL359551.1,AC068075.1,AL590004.4,AC108199.1,AB015752.1,AC005609.1,AC142391.1,DEFB107A,AC016700.3,AC112518.1
10558,IGLJ4,TMPRSS15,TRBV23OR9-2,AL355990.2,AL356010.2,AC090796.1,C1orf137,LINC02498,LINC00534,AC005609.3,AC113361.1,PRR23D2,AC092431.1,AC024908.1
10559,IGLC1,C1orf195,AC012309.2,AL109914.1,MTRNR2L11,AC104051.1,AL136376.1,CR936218.2,AC136616.1,PCDHA11,AC008667.1,MIR124-2HG,GKN1,AC015878.1
10560,AC002465.1,AL031283.3,STAU2-AS1,AP003385.3,KIF26B-AS1,AC022679.2,AL162231.3,CR936218.1,AC133551.1,OR5B17,PSD2-AS1,DEFB107B,GKN2,AP001999.2
10561,LINC01298,CELA2A,TRBV22OR9-2,TBX10,AL451007.2,AC090200.1,LINC01779,WNT9B,CA3,OR5B3,AC008667.3,DEFB105B,AC010463.1,AP001999.3
10562,AC022392.1,LINC00317,Z98885.3,PROK1,AL451007.3,TRBV25OR9-2,FAM205A,LINC01974,MIR1302-2HG,OR5B2,C9orf92,DEFB106B,AC010646.1,AP003062.1
10563,AC106873.1,AL135924.2,KISS1,AL358215.1,C1orf100,FAM205A,AL358072.1,AC005699.1,AC023491.2,OR5B12,LINC01787,DEFB104B,ATP6V1B1,AP005135.1
10564,AP003465.2,AP001172.1,AL353651.1,AL358215.2,AL590483.2,FAM205C,FAM205C,LINC02360,BX072566.1,AP002893.1,AC020897.1,SPAG11B,AC025811.1,AC215217.1
10565,LINC01510,AP001172.2,AC008632.1,CYMP-AS1,AL590483.1,MOS,AL590004.3,AC108037.1,LINC02235,SMTNL1,AC020912.1,DEFB103B,AC011516.1,TUBB8
10566,AC006159.2,AP000962.1,AC021534.1,AL445430.2,AL591885.1,AC012349.1,NBPF6,LINC02270,AC132219.1,AL357052.1,LINC01791,DEFB4B,ZNF729,AC008635.1
10567,AC006159.1,MAGEE2,AC092811.2,LGALS16,AL591721.1,ALKAL1,AL450267.1,DEFB131A,AC009686.2,AL513188.1,AC025809.1,ZNF705G,AC073539.3,AFM
10568,AC004875.1,AL451105.2,AL117348.2,AC005515.2,AC093426.1,NPBWR1,AC008708.2,LINC02517,KRTAP10-5,OR10W1,AC008992.1,USP17L4,LINC02590,AC044781.1
10569,PRAMEF26,AC233296.1,TRBV21OR9-2,LGALS14,CEACAM16,AC009646.2,AC008601.1,AC209005.1,KRTAP10-4,AC024610.1,SLC24A2,AC025674.2,LINC01820,CELF2-AS2
10570,PLA2G12B,LPAR4,TRBV20OR9-2,FGF19,AC245748.3,TRBV21OR9-2,LINC01400,HMX1,AP001574.1,AC024475.3,AL591222.1,LINC01606,AC017006.1,AL512631.1
10571,OIT3,AL159990.2,AL117328.2,FGF4,AC245748.1,TRBV22OR9-2,AC006504.2,AC018521.3,LINC01299,LINC02489,IFNW1,PRR23D1,AC017006.2,AL607028.1
10572,AL513185.1,AL159990.1,AL162231.3,FGF3,AL160408.6,TRBV23OR9-2,AC091820.1,AC018521.7,AP003115.1,KF459542.1,AL391117.1,LINC01289,U51244.1,PDCL2
10573,AC012339.1,C9orf57,GFRA3,LINC02543,AL160408.3,TRBV24OR9-2,AC010511.1,PRR15L,AP003117.2,AC024614.4,AC017067.1,AC069133.1,AC073539.1,AC096588.1
10574,AL450311.1,GDA,WNT8A,AL009031.1,AL160408.4,AL162231.3,OR13C9,AC018521.4,AC018442.2,AC024614.2,IFNE,AC022639.1,AC092567.1,AC093857.1
10575,HNRNPCL1,LINC01425,AC113382.2,STMND1,AL160408.1,ADAM2,AL136084.3,FAM90A26,AC107909.2,AC024614.1,AL445623.1,AC018953.1,AC003973.2,LINC02496
10576,PRAMEF2,FOXD4L4,AC022966.1,MRGPRD,AL160408.5,AC007991.3,AC005580.1,USP17L10,AP003467.1,EPS8L3,ELAVL2,AC011124.2,AC092364.1,LINC02271
10577,LINC01690,IGKV1OR-3,AC104169.1,AP003071.3,LINC00184,AC007991.4,AL136084.2,USP17L11,AP003355.2,AC010768.2,AL365204.1,AC011124.1,AC123912.2,AC020741.1
10578,OLIG2,AL513478.2,AC100788.1,KCNA10,ZP4,AC087518.1,AC093074.1,USP17L26,AC091096.2,AC104241.2,IFNA21,DEFA3,AC010615.4,SMR3A
10579,LINC00945,AL353770.3,RBFOX3,AC017033.1,AL359924.1,AC022733.1,AC005307.1,USP17L13,AC083967.1,AC104241.1,IFNA4,DEFA1B,AC093833.1,AC097491.1
10580,NEUROG3,SPATA31A3,LINC01555,AC067960.1,AC067968.1,AC022733.2,AC020897.1,USP17L15,C8orf34-AS1,AC011824.1,IFNA7,DEFA1,AC093702.1,AC093730.1
10581,AL596223.2,AC235565.2,AL359762.2,AC079988.1,AL355526.1,AC105999.2,AC020912.1,USP17L17,AC011853.2,AC011824.2,IFNA10,DEFA4,AC012354.1,TECRL
